株式会社サンリオ,[[1968年]]（[[昭和]]43年）の都市交通審議会答申第10号において、'''東京7号線'''は、「'''[[目黒(東京都)目黒]]方面より[[麻布飯倉片町]]、[[永田町]]、[[市ケ谷]]、[[駒込]]及び[[王子(東京都北区)王子]]の各方面を経て[[赤羽]]方面に至る路線'''」として示された。[[1972年]]（昭和47年）の答申第15号では、将来の検討対象とされていた[[埼玉県埼玉方面]]への延伸区間が'''[[川口市]]中央部'''…'''[[浦和市]]東部'''間と改められた。その後[[1985年]]（昭和60年）の[[運輸政策審議会答申第7号]]では、目黒-清正公前（現：[[白金高輪駅]]）間を[[都営地下鉄三田線都営三田線]]と共用するものとされ、また埼玉県内は[[鳩ヶ谷駅鳩ヶ谷市中央]]経由で[[東川口駅東川口]]から浦和市東部へと変更された。このうち、目黒-赤羽岩淵間が南北線として順次開業しており、また赤羽岩淵-[[浦和美園駅浦和美園]]間は[[埼玉高速鉄道線]]として開業している。7号という路線番号が示すように、計画そのものは[[1960年代]]になされていたが、着工は大幅に遅れ、[[1991年]]（[[平成]]3年）に部分開業、[[2000年]]（平成12年）に全線開業した。後発路線のため、全体的に地中深い駅が多いのが特徴である。当初の建設計画では第1期工事区間を[[駒込駅駒込]]-赤羽岩淵間、第2期工事区間を目黒-駒込間としていたが、第2期工事区間を[[溜池山王駅溜池山王]]-駒込間（その1）、目黒-溜池山王間（その2）に分割したため、実際は3区間に分けて建設された。第1期区間は順調に建設がされたが、第2期区間は[[埋蔵文化財]]の発掘や[[住民]]の反対運動で建設は遅れ、当初の全線開業予定の[[1995年]]（平成7年）9月から2000年（平成12年）9月へと大きく延期されることとなった&lt;refname&quot;Namboku&quot;&gt;帝都高速交通営団「東京地下鉄道南北線建設史」参照。&lt;/ref&gt;。また、第2期開業にあたっては駒込駅-溜池山王駅までを一気に開業させる予定であった。しかし、[[東京メトロ銀座線銀座線]]の新駅設置工事や[[東京メトロ丸ノ内線丸ノ内線]]・[[東京メトロ千代田線千代田線]]の既設路線交差部において難工事となったため、工期に時間を要することとなった。本路線の建設費用は総額5604億円である。内訳は土木関係費が4136億4517万9000円、電気関係費が590億8743万6000円、車両関係費が302億4814万円、その他が574億1924万5000円となっている。本路線の路線名称は[[帝都高速度交通営団営団地下鉄]]職員より社内公募を行ったもので、応募は3830通（341線名）があった。選考の結果、「南北線」が1741通と約半数を占め、また本路線が地理上から、ほぼ南北に貫通していること、[[東京メトロ東西線東西線]]に対比して南北方向の路線として最もふさわしい路線名称であることから「南北線」という路線名称が選ばれた&lt;!--南北線建設史参照。--&gt;。飯田橋駅-永田町駅間では有楽町線と並行しているが、有楽町線が麹町経由であるのに対して南北線は四ツ谷経由であることが異なっている。
株式会社タジマヤ,本業は[[卸売業]]であり、現金問屋業態では1都5県に20支店1営業所を展開している。C&amp;C（キャッシュアンドキャリー）システムと呼ばれる[[セルフサービス]][[現金]]購入持ち帰り方式を採用しており、[[掛売り]]での販売や[[配送]]は基本的に行っていない。また小売部門の「Tマート」事業部も9店舗を展開している。他にもオービス事業部があり、植物精油（フィトンα）を加工した消臭・抗菌・防虫・リラックスを主な効果とする製品の製造・販売を行っている。[[TBSラジオ&amp;コミュニケーションズTBSラジオ]]と[[ニッポン放送]]において、自社のC&amp;CシステムをアピールするCMソングと、[[大沢悠里]]のナレーションによるラジオコマーシャル（TBSラジオでは、[[大沢悠里のゆうゆうワイド]]火曜・木曜の9時20分頃→2016年4月以降大沢悠里のゆうゆうワイド土曜日版の15時25分ごろ）を放送している。CMキャラクターには一時期、元プロ野球選手の[[金田正一]]を起用した時期があった。
ジーマ株式会社,"『[[ラーマーヤナ]]』によると、サガラ王は王子を得るため、2人の妃ケーシニー、スマティーとともに[[ヒマラヤ山脈ヒマラヤ]]山中で修行に励んだ。これを[[リシ聖仙]][[ブリグ]]が喜んで、片方の妻からは1人の王子が、もう片方の妻のからは6万人の王子が生まれるだろうと告げた。やがてケーシニーは1子アサマンジャを生んだ。またスマティーは1つの[[瓢箪]]を生み、それが割れたとき、中から6万の王子が生まれた。アサマンジャは残虐な性格の持ち主で、民の子供をサラユ川に投げ込んだので、民は怒ってサガラに抗議した。そのためサガラ王はアサマンジャと妃を森に追放したとされる。後にサガラ王は盛大な[[馬祀祭]]を行おうとしたが、[[インドラ]]神は重要な犠牲の[[ウマ馬]]を奪った。王は6万の王子たちに奪われた馬を探すように命じた。6万の王子たちは地上をくまなく捜したが発見できなかったので、穴を掘って地下世界を捜し始めた。しかし彼らの喧騒が神々を悩ませた。神々がブラフマー神に相談すると、ブラフマー神は「彼らは[[ヴィシュヌ]]神の化身である聖仙[[カピラ]]によって滅びるであろう」と告げた。やがて王子たちは地下世界にカピラ仙が奪われた馬を引いて歩いているのを発見した。彼らは馬を奪おうとしたが、カピラの怒りによって残らず灰と化した。サガラ王は王子たちが帰らないことを心配し、アサマンジャの子アンシュマットに命じて捜させた。アンシュマットは世界中を捜したのち、地下で王子たちが灰になっているのを発見した。アンシュマットは彼らを供養しようとしたが近くに水を見出せなかった。スマティー妃の兄ガルド（聖鳥[[ガルダ]]？）は、彼らは天上のガンガーの水によってのみ救済されるから、今は馬を連れ帰って祭祀を完成するよう助言した。帰還したアンシュマットから全てを聞いたサガラ王は悲しみつつも祭祀をやり遂げた。その後3万年の間王国を支配したのち昇天したとされる。なお、彼の6万の王子たちの魂はアンシュマットの孫[[バギーラタ]]がガンガーを降下させ、その水によって救済されたという。{{ラーマーヤナ}}{{デフォルトソート:さから}}[[Category:インド神話の人物]][[Category:ラーマーヤナ]]</text><sha1>a1i0x26bnotk5labmpxx1w7oybe9eg7</sha1></revision></page><page><title>アレクサンダー・ノックス</title><ns>0</ns><id>1064752</id><revision><id>72905042</id><parentid>70388338</parentid><timestamp>2019-05-27T19:17:36Z</timestamp><contributor><username>鈴木亮輔</username><id>1492324</id></contributor><minor/><comment>/*外部リンク*/</comment><model>wikitext</model><format>text/x-wiki</format><textxml:space""preserve"">{{ActorActress芸名AlexanderKnoxふりがなアレクサンダー・ノックス画像ファイルAlexanderKnox.jpg画像サイズ画像コメント本名別名義出生地{{CAN1868}}[[オンタリオ州]][[ストラスロイ]]死没地[[バーウィック・アポン・ツイード]]国籍{{CAN1868}}身長血液型生年1907生月1生日16没年1995没月4没日25職業ジャンル活動期間活動内容配偶者DorisNolan(1943-1995)著名な家族事務所公式サイト主な作品&lt;!--皆が認める代表作品を入力--&gt;備考}}'''アレクサンダー・ノックス'''（'''AlexanderKnox'''[[1907年]][[1月16日]]-[[1995年]][[4月25日]]）は、[[カナダ]]の[[俳優]]。"
丸紅エネルギー株式会社,第1回[[メフィスト賞]]を受賞&lt;ref&gt;正確には森をデビューさせるために創設された。&lt;/ref&gt;したデビュー作『すべてがFになる』から始まる一連のシリーズ。シリーズ名は主人公である犀川創平と西之園萌絵のファーストネームのイニシャル、「S」と「M」に由来する。大まかな話の流れとしては、西之園萌絵が事件を持ち出し（あるいは巻き込まれ）、犀川創平がやむを得ず解決するという構成。[[理系]]ミステリィと称されるように、[[ガジェット]]や[[トリック(推理小説)トリック]]に[[工学]]などの理系分野を中心として構成されている。一方で、登場人物同士が抱く心理状態、思考形態の表現は時として抽象的、[[哲学]]的な形をとる。[[生命工学]]・[[情報工学]]・[[認知科学]]などといった分野にも触れられており、従来の推理小説とは一見異なった雰囲気を持っている。当初は『封印再度』までの5連作を予定していたが、編集部の意向により当初は4作目に予定されていた『すべてがFになる』が1作目へと変更されたため、シリーズ全体を再構成し、後の5連作を新たに執筆したという経緯がある。シリーズとしては『有限と微小のパン』で完結するものの、他シリーズ（特に[[Gシリーズ(小説)Gシリーズ]]、[[四季シリーズ(森博嗣の小説)四季シリーズ]]）との繋がりも多く、内容が前後することが多い。
アストモスエネルギー株式会社,[[1611年]][[12月2日]]（[[慶長]]16年[[10月28日(旧暦)10月28日]]）、[[巳]]刻過ぎ（10-11時頃）大地震、昼八ツ時（午後2時頃）に大津波（現地時間）と記録されている。『武藤六上衛門所蔵古大書』には「大地震三度仕」とあり、3度大きく揺れたことになる。当時、日本を探検中の[[セバスティアン・ビスカイノビスカイノ]]らも、奥州沿岸の測量中に地震と津波に遭遇し、その記録を残している&lt;refname&quot;Dainippon1940&quot;&gt;文部省震災予防評議会『大日本地震史料増訂』1940年&lt;/ref&gt;。津波の波源域は1933年（昭和8年）の[[昭和三陸地震]]とほぼ重なると考えられてきたが、近年それとは違った諸説が出ている。この地震において、現在の[[三陸海岸]]一帯は強震に見舞われたが、太平洋側沿岸における震度は4-5程度と推定され、地震による被害はほとんどなく、[[津波]]による被害が大きかったことから[[津波地震]]と推定されている&lt;ref&gt;阿部勝征(2003):「津波地震とは何か-総論-」『月刊地球』'''25'''337-342.&lt;/ref&gt;&lt;ref&gt;島崎邦彦(2003):「今後30年間に起る確率20%-三陸沖から房総沖にかけての津波地震の長期評価-」『月刊地球』'''25'''343-346.&lt;/ref&gt;。この地震による津波被害は「慶長三陸地震津波」あるいは「慶長三陸津波」とも呼ばれている。この地震の7年前には日本の太平洋沿岸で大津波が発生していた（[[慶長地震]]）&lt;refname&quot;Ishibashi2013&quot;&gt;石橋克彦原田智也(2013):1605（慶長九）年伊豆-小笠原海溝巨大地震と1614（慶長十九）年南海トラフ地震という作業仮説日本地震学会2013年秋季大会講演予稿集D2103&lt;/ref&gt;。なお、地震が発生した当時は「[[三陸]]」という地域名称は存在しなかった。
インスパイアー株式会社,ファイアウォールソフト「[[FireWall-1]]」、統合セキュリティアプライアンス（[[UTM]]）の販売、セキュリティ技術者の教育、研修、人材派遣などの事業を手掛けていた。2007年にはモバイルにおける[[PKI]]([[公開鍵基盤]])による認証サービス「FC-mGate」のサービスを開始していた。[[フォーバル]]傘下で'''株式会社フォーバルクリエーティブ'''として創業したが、2003年3月期以降経常赤字が続いていた。財務建て直しのため、[[都築電気]]元社長の都築省吾が設立したファンドが[[株式公開買い付けTOB]]で株式を取得、親会社となった。同ファンドは本TOBのために設立された特定目的会社&lt;ref&gt;[http://www.sakurafinancialnews.com/news/2724/20080212_2フォーバルクリエーティブ、TOBに賛同意見]-さくらフィナンシャルニュース&lt;/ref&gt;&lt;ref&gt;[http://www.bridge-salon.jp/report_bridge/archives/2008/02/080226_8275.html2008年2月26日付ブリッジレポート]&lt;/ref&gt;。2013年5月7日に[[会計監査人]]が監査報酬不払い等を理由として辞任した後、一時会計監査人を選任して凌いでいたものの、2014年7月17日に至り、当社の不正会計により監査が不可能な状況にあることを理由として一時会計監査人が辞任した。それにより2014年3月期の[[有価証券報告書]]を期限内に提出できなくなったため、2014年9月13日に[[上場廃止]]となり、2015年10月23日に[[東京地方裁判所]]より[[破産手続開始の決定]]を受けた&lt;ref&gt;{{Citewebdate2015-10-28urlhttp://www.tdb.co.jp/tosan/syosai/4101.htmltitle大型倒産速報publisher株式会社帝国データバンクaccessdate2015-10-30}}&lt;/ref&gt;&lt;ref&gt;{{Citewebdate2015-10-28urlhttps://www.tsr-net.co.jp/news/tsr/20151028_02.htmltitleTSR速報（大型倒産情報・注目企業動向）publisher株式会社東京商工リサーチaccessdate2015-10-30}}&lt;/ref&gt;。
株式会社ENEOSフロンティア,「ENEOS」ブランドの[[ガソリンスタンド]]（サービスステーション）を運営する販売店への[[ガソリン]]・[[灯油]]などの販売（[[卸売]]）事業を行っている。サービスステーションの運営も直接行っており、グループ全体で1324店舗を運営している（2015年7月1日現在）。2015年7月1日付で、直営店・販売店事業のみを残した上で[[ENEOSネット]]を吸収合併し、その他の事業は全て[[ENEOSサンエナジー]]に統合した。
ダイワボウ情報システム株式会社,パソコンやその周辺機器、ネットワークやシステム等、ITに関わるあらゆる商品を提供しているITの専門商社。2016年現在、パソコンの取り扱い台数は179万台で国内の約18.1％のシェアを獲得。6台に1台以上のパソコンに携わっている、国内最大のITディストリビューター。かつては「パソコンの館」という名称でパソコンを直接販売していたが、現在「パソコンの館」は子会社化を経て[[ZOA]]に吸収され、本体はIT機器やソフトウェアの卸売業がメインとなっている。「地域密着の営業体制」を掲げ、同業他社と比較して拠点数が多い。ネット通販サイトNTT-XStoreの共同運営者である。
井原水産株式会社,いずれも『[[ASAYAN]]』放送終了後から『[[演歌の花道]]』放送開始前までのわずかな時間を使って放送されていた[[ミニ番組]]である。かつてこの時間帯では[[天気予報]]が放送されていたが、ジャスコシティ八事がスポンサーに付いたことからこれを廃し、替わって同敷地内で収録したミニ番組を放送するようになった。司会は、[[中京圏]]を拠点に活動する[[ローカルタレント]]たちが歴任した。同ジャスコシティ八事の一社提供枠は、番組のリニューアルを繰り返しながらも4年半にわたって続けられていたが、シリーズ最後の番組『熱血!八事先生』が終了した後は再び天気予報を放送するようになった。さらにその半年後、『[[期間限定!ピカピカ天王洲LIVE]]』の同時ネットが開始されたことによって放送枠そのものが消滅した。
日鉄物産株式会社,前身の一つである[[住金物産住金物産株式会社]]は、[[住友グループ]]広報委員会にも参加していた。当時、同じ大阪に本社を置く[[伊藤忠商事]]、[[阪和興業]]、[[岩谷産業]]、[[長瀬産業]]、[[稲畑産業]]、[[山善]]などと並ぶ在阪商社の一つであった。また、同社は[[イトマン事件]]で経営不振に陥った[[イトマン]]株式会社を吸収合併して、鉄鋼・機械から繊維・食糧へと事業を拡大、2006年12月には東証1部上場を果たしていた。&lt;br/&gt;また、もう一つの前身である[[日鐵商事日鐵商事株式會社]]は、[[鉄鋼製品]]の販売などを行う[[新日鐵住金]]グループの中核商社であり、2010年（平成22年）4月には東証1部上場していた。&lt;br/&gt;両社は、2013年（平成25年）10月1日をもって、[[事業統合]]を果たし、日鉄住金物産株式会社を発足させた。&lt;br/&gt;2019年4月1日、親会社の新日鐵住金が日本製鉄へ商号変更したことに伴い、'''日鉄物産株式会社'''に商号変更された&lt;refname&quot;name&quot;&gt;[https://www.nipponsteel.com/common/secure/news/newbrandmark_100.pdf商号変更予定のグループ会社]&lt;/ref&gt;。
ボスインターナショナル株式会社,日本の伝統的な[[昔話]]をベースにした[[ギャグ漫画]]であるが、中には[[シンデレラ]]を始め日本の昔話と言えないものが含まれていることもある。主人公の[[桃太郎]]とその仲間たちが他の話に乱入し、騒動を巻き起こしたり他人の悩み事相談に乗りつつ却って問題を深刻にしてしまうのが話の基本パターンである。第12話掲載後、作者の病気により休載となり、翌[[1993年]]に作者が死去したことにより未完の[[絶筆]]となった。第10〜12話は単行本未収録となっている。
株式会社ドーム,開通前は[[古河市]]にある[[国道4号]][[利根川橋(国道4号)利根川橋]]や[[取手市]]にある[[国道6号]][[大利根橋]]まで大きく迂回しなければ東京方面に行くことができなかったが、本橋の開通によって都心までの所要時間が大幅に短縮された。これによって[[岩井市]]（現[[坂東市]]）周辺は東京圏向けの[[レタス]]・[[ハクサイ]]など[[近郊農業]]を中心とする農業によって大きく成長した。その後、本橋の慢性的な混雑緩和のため[[1980年]]（昭和55年）に下流側に[[新大利根橋]]、[[1990年]]（平成2年）に上流側に[[下総利根大橋有料道路下総利根大橋]]が建設されたが、双方とも有料道路だったこと（のちの[[2010年]]（平成22年）に新大利根橋は無料化）、特に新大利根橋までは直線距離でも13[[キロメートルkm]]ほど離れていること等から、交通量が大きく分散するまでには至っていない。
株式会社サン・ダイコー,本社は大分市西大道。株式会社[[フォレストホールディングス]]傘下の医薬品・工業薬品販売会社。動物用医薬品、飼料添加物、混合飼料、畜産用機器、畜産用器材、環境改善資材、水産用医薬品・電子関連薬品、食品添加物・調味料などを扱う。
JFE商事エレクトロニクス株式会社,*所在地：埼玉県日高市野々宮146番地
株式会社グリーンフーズ,本来は[[地税]]である田租を指して官物と呼んだと考えられているが、律令制以後には租庸調をはじめとする貢納物や[[出挙]]・[[正税]]などのその運用・集積物を含めて「官物」と呼ばれるようになった。こうした官物の代表物として[[年料舂米]]・[[年料租舂米]]・[[年料別納租穀]]・[[年料別貢雑物]]・[[年料雑器]]・[[地子交易交易雑物・雑器]]などがあげられる。租庸調制の崩壊に伴って、[[人頭税]]的な庸・調は徴収されなくなり、代わって田租と[[地子米]]からなる地税的な官物と人頭税的な名残を残した[[雑役]]（及びその一種である[[臨時雑役]]）に収斂していくことになる。更に雑役も次第に地税化していくことになる。ただし、[[10世紀]]においてはまだ官物の徴収基準がそれぞれの令制国の[[国例]]に定められて[[稲穀]]（'''官稲'''（かんとう））や[[米]]（'''官米'''（かんまい））、[[絹]]、[[布]]などの形で徴収されていたが&lt;ref&gt;[[平田耿二]]によると、段別に租に当たる田租が1.5束、出挙[[利稲]]が1.5束、率稲（付加税）1.2束、率分加徴物（未納の場合の保険）1.3束の計5.5束が基準であり、調庸は所当料田と定めた田に対し官物に相当する量を納めさせたものである。（『消された政治家・菅原道真』文藝春秋2000年ISBN4166601156）&lt;/ref&gt;、実際にはそれぞれの[[国司]]によって定められていた。だが、そのために国例に定められた賦課を上回る官物が徴収されることになる。これを'''官物加徴'''（かんもつかちょう）と呼び、それによって徴収された米を[[加徴米]]（かちょうまい）と呼んだ。だが、加徴を巡って国司と現地の農民との対立が激化するようになり、[[11世紀]]中期には一定の基準（[[官物率法]]）に従って官物・[[雑物]]が徴収されるようになり、それ以外の臨時の賦課を臨時雑物と呼ぶようになった。[[12世紀]]に入ると既存の官物率法に代わって、[[国衙領]]の公田のみならず、[[荘園(日本)荘園]]の[[年貢]]に対しても[[一国平均役]]・[[御家人役]]などの形で公租が賦課されるようになり、これらの賦課による貢納物に対しても官物という言葉が用いられるようになり、[[南北朝時代(日本)南北朝時代]]の頃までこの呼称が用いられた。
株式会社共同紙販ホールディングス,*当中継局は、新庄市内に置かれ、[[最上地方]]の広範囲に電波を発射している。*YBCラジオは最上地方のほぼ全域で電波が受信できるが、出力の小さな[[NHKラジオ第1放送]]は、山間部を中心に受信が厳しい地区が多い。山間部では、出力が大きく、かつ周波数が低い山形親局（[[山形ラジオ送信所宮町ラジオ放送所]]）の方が良好に受信できる場合があり、最上地方の道路[[トンネル]]内で、宮町ラジオ放送所の周波数で[[路側放送]]を行っている箇所もある。なお、[[NHKラジオ第2放送]]については、隣県の[[NHK秋田放送局]]親局でカバーできる場合がある。*NHKラジオ新庄中継局は、当初は局舎が立てられた有人施設であり、ローカル放送も行っていたが、後に無人化された。
重松貿易株式会社,主にヨーロッパ各国で生産される[[ワイン]]・[[ウイスキー]]・[[スピリッツ]]・[[ミネラルウォーター]]の他に、[[ドイツ]]に本社を置くヨーロッパ最大の[[コーヒー]]取り扱い業者として知られるDEK社（ドイチェ・エクストラクト・カフェ）の製造する[[インスタントコーヒー]]ブランド「クライスカフェ」を国内に向けて販売している。同社が取り扱うクライスカフェは、本国ドイツでDEK社が設立された[[1965年]]の翌年に国内で販売を開始し、40年余りにわたって、同ブランドの製品を扱い続けており、また国内各社が発売するコーヒーより価格が安いこともあり、輸入食品を扱う店での取り扱い率は高い。[[1977年]]には同社からコーヒー部門が分離するカタチで、子会社の[[クライスカフェジャパン]]として事業を展開している。同社が扱う商品は、主に都内・関東域を中心に展開されている輸入食品の店として知られる[[キャメル珈琲#カルディコーヒーファームカルディコーヒーファーム]]や[[成城石井]]などで販売されている。また同社には、前述の部門である食品部とは別に、[[診断薬]]や[[有機化合物]]などを扱う[[化学品]]部も存在する。
日本製紙木材株式会社,*「お笑い」と「お色気」をメインにした番組。生放送ならではのハプニングの数多く発生した。*毎回若手芸人1組がコーナーのメインを任され、ロケなどを行っていた。*[[加藤浩次]]は吉岡や本能ガールズらに対し遠慮のない暴言を連発し、狂犬ぶりを発揮していた。*[[山本圭一山本圭壱]]はその日の[[広島東洋カープ広島カープ]]の試合経過を[[紙芝居]]で伝えるコーナーを強引に行い、他の出演者に嫌がられていた。*加藤鷹はゲストの歌手・音楽グループとトークするコーナーを持っていたが、番組末期になるとAV女優の[[川奈まり子]]をゲストに招くなど過激さを増した。ハローバイバイが加藤の[[アダルトビデオ]]撮影現場に潜入し、加藤の勃起待ちで収録が中断する場面がVTRで放送されたことも。*6月29日放送では、加藤が[[TBSテレビTBS]]の[[2002FIFAワールドカップサッカーワールドカップ]]キャスターとして[[大阪市]]に滞在していた関係で、キングコングを除く出演者が大阪市にある[[梶原雄太]]の狭い実家から生中継した。キングコングはこれを知らず2人だけ東京のスタジオで出演した。途中で中継回線が切れてしまい、暫くキングコングのフリートークで繋ぐハプニングも発生。*この番組で加藤鷹とキングコングが共演した（また梶原がコントで加藤のパロディを演じていた）縁から、加藤が「[[はねるのトびら]]」に2度ゲスト出演した。*「[[めちゃ×2イケてるッ!]]」（8月24日放送）で、サッカーワールドカップのチケットを入手した極楽とんぼの片山マネージャー（当時）が、[[岡村隆史]]にチケットを譲る交換条件として「本能のハイキック!」への出演を依頼した。岡村は了承したものの、結局出演は実現しなかった。*当時[[ワタナベエンターテインメント]]に所属していたお笑いコンビG★MENSのメンバー・静岡茶っぱの妻の両親が芸人の仕事に反対しており、義父母を説得するための企画が何度か放送された、最終回では彼を応援する[[ファクシミリFAX]]を募集し、目標の1000通を超えたため芸人続行が決定。しかし、結局番組終了後の2002年末にコンビは解散した。*放送設備工事などで放送休止となることが多かった。また過激な内容に視聴者の苦情が多かった番組であった。*生放送中に、スタッフが楽屋泥棒をして山本の現金を盗んでいたという。&lt;!--「打ち切られた。」事実誤認。当時の深夜枠は視聴率がよくても半年で改編していたため、この番組もそのセオリー通りに半年で終了となったに過ぎない。--&gt;
クロスプラス株式会社,[[茨城県]]との県境付近であり[[国道123号]]が至近である茂木町山内の[[栃木県道338号芳賀茂木線栃木県道338号]]分岐から分かれ、[[那珂川県立自然公園]]の地域を北上して那須烏山市に至る道路。[[2008年]]（平成20年）、旧称の「下平上境線」から名称変更された。下平とは、起点の茂木町大字山内地内にある小字である。起点付近の下平から途中の山内甲までは[[茂木町営バス]]山内線が運行されていたが、町営[[デマンドタクシー]]「茂木町デマンドタクシーめぐるくん」への移行に伴い[[2011年]][[9月30日]]限りで廃止された&lt;ref&gt;[http://www.town.motegi.tochigi.jp/motegi/nextpage.php?cd000001531&amp;syurui2&amp;lev3&amp;hidchangemoji2町営バスの運行が終了しました-茂木町役場ホームページ]2012年12月29日閲覧。&lt;/ref&gt;。
株式会社カノークス,名古屋の[[老舗]]鉄鋼商社。カノークスグループは、カノークス、子会社4社及び関連会社2社から成る。主な販売先は自動車製造メーカー、自動車部品、建材、ガス器具等各製造会社などであり、主に鋼板、鋼管、ステンレス、条鋼類を販売している。子会社、関連会社にて鋼材加工を行なっている。現在、カノークスの明るい未来を切り開くため、全社一丸となってCANOXONE活動を推進している。[[File:Canoxone.jpgthumbcanoxone]]
山下医科器械株式会社,[[アルバム]]『[[ザ・ワークス(アルバム)ザ・ワークス]]』の8曲目に収録されている楽曲で、作詞作曲は[[ブライアン・メイ]]によるもの&lt;refname&quot;Hammer&quot;&gt;[http://www.ultimatequeen.co.uk/songs/works.htmTheWorks]UltimateQueen.2019年1月11日閲覧&lt;/ref&gt;。歌詞は[[核戦争]]のことを歌っている。アルバムがリリースされた[[1984年]]の[[9月11日]]にシングルとしてリリースされ、[[イギリス]]の週間チャートで13位、[[南アメリカ]]の週間チャートで3位を獲得するなどヒットした&lt;ref&gt;RobertsDavid(2006).[[BritishHitSingles&amp;Albums]].London:GuinnessWorldRecordsLimited&lt;/ref&gt;。なお、このシングルに収録された音源は、アルバム収録テイクよりも30秒短く編集されたアレンジとなっている。シングルに収録されたアレンジは、コンピレーション・アルバム『[[グレイテスト・ヒッツII]]』や『[[クラシック・クイーン]]』に収録されている&lt;refname&quot;Hammer&quot;&gt;[http://www.ultimatequeen.co.uk/songs/works.htmTheWorks]UltimateQueen.2019年1月11日閲覧&lt;/ref&gt;。
東洋バルヴ株式会社,旧・東洋バルヴ株式会社は[[1919年]]（[[大正]]8年）、[[長野県]][[諏訪郡]][[上諏訪町]]（現・長野県[[諏訪市]]）で製糸用蚕繭買い取り業を営んでいた長男の北澤國男、上諏訪町清水町の鋳物工場平野屋鋳造所に勤務していた次男の北澤友喜ら4兄弟が、製糸工場向けバルブの製造販売を行う「北澤製作所」として上諏訪町湯の脇に創業した。寒冷地の工場向けにカランを肉厚として凍結破損しにくくした「諏訪型」と呼ばれるバルブを開発して急成長。[[1943年]]（[[昭和]]18年）に合名会社から株式会社に改組し、「北澤工業株式会社」に改称した。[[1938年]]（昭和13年）、「東洋バルヴ工業株式会社」を分社。戦時中は軍需工場の指定を受けて陸軍88式大砲信管を製造したほか、時計式時限信管を開発・製造した。[[1953年]]（昭和28年）に東洋バルヴ工業株式会社を吸収合併し、[[1963年]]（昭和38年）に東洋バルヴ株式会社と改称した。諏訪工場（長野県諏訪市湖岸通り5丁目）を拠点に、ダクタイル鋳鉄バルブをはじめとする国内有数のバルブメーカーとして量産ラインを拡充。大量生産方式で世界100カ国以上に輸出し、海外にも販売拠点を広げるなどした。オイルショック後の不況の影響を受けて[[1976年]]（昭和51年）に倒産したが、その後も積極的に新技術の導入を図りながら経営を再建した。[[1997年]]（平成9年）には長野県[[茅野市]]金沢に茅野工場を開設。工業用・一般用の各種バルブ、アバカス継手などの製造販売を行った。北澤製作所・東洋バルヴで技術を培った多くの技術者が戦後独立し、「東洋のスイス」と呼ばれた諏訪地方の精密工業発展の母体となった。オルゴールムーブメント・電子機器メーカーの株式会社三協精機製作所（長野県諏訪郡[[下諏訪町]]、現・株式会社[[日本電産サンキョー]]）、カメラメーカーの株式会社[[ヤシカ]]（長野県[[岡谷市]]、現・[[京セラ]]長野岡谷工場）、ポンプメーカーの株式会社荻原製作所（長野県諏訪郡下諏訪町）などが誕生した。また北澤國男の長男[[北澤利男]]も、北澤工業常務取締役時代の[[1951年]]（昭和26年）に退社して独立。北澤工業および東洋バルヴとの資本関係を一切持たずにバルブメーカー株式会社北澤製作所（現・株式会社キッツ）を設立し、世界有数のバルブメーカーに成長させた。経営合理化の一環として[[2002年]]（平成14年）に諏訪工場を閉鎖し、製造ラインを茅野工場に統合した。2004年（平成16年）、株式会社キッツが事業再編の一環として東洋バルヴのバルブ事業全般を買収。株式会社キッツマテリアルが受け皿会社となり、社名を東洋バルヴ株式会社に改称した。事業継承後も引き続きバルブ製造を行い、キッツが培った多品種少量生産方式を導入して経営効率の向上を図ったが、2012年（平成24年）に生産部門はキッツへ承継され、現在は販売のみを担っている。
アップルインターナショナル株式会社,かつては[[ドイツ民主共和国東ドイツ]]の[[企業#活動形態による分類国営企業]]であったが、東西ドイツ統一後の[[1992年]]に民営化されて'''PIKOSpielwaren[[GmbH]]'''になった。[[メルクリン]]、[[フライシュマン(鉄道模型メーカー)フライシュマン]]と[[Roco]]に続く「4番目に大きな鉄道模型会社」である。PIKOでは[[HOスケール]]の[[鉄道模型#直流方式直流二線式]]と[[鉄道模型#交流方式交流三線式]]に加えて、[[Gゲージ]]や[[TTゲージ]]も供給している。日本語では「ピコ」と呼称される。英語では、イギリスの[[Peco]]を「ピコ」と呼ぶため、「パイコ」と呼び別ける事が多い。
